date,open,high,low,close,volume,vwap
2025-05-08,201.01,203.52,199.73,201.44,3232235.0,202.0346
2025-05-09,201.96,203.92,201.425,202.41,2579955.0,202.483
2025-05-12,213.18,213.2,210.39,212.47,4784808.0,211.8875
2025-05-13,213.77,216.182,213.065,215.28,5715480.0,215.0255
2025-05-14,215.83,217.18,215.21,216.11,3558494.0,216.2874
2025-05-15,214.07,216.21,213.4001,215.63,4196551.0,215.0069
2025-05-16,216.36,217.82,215.78,217.67,2986584.0,216.9523
2025-05-19,214.13,217.48,213.68,217.16,3467506.0,216.3308
2025-05-20,217.56,218.18,214.995,216.03,3523643.0,216.5525
2025-05-21,214.32,215.06,210.8,211.65,5162819.0,212.9003
2025-05-22,211.28,214.13,210.715,212.56,4496573.0,212.7508
2025-05-23,209.02,211.6,208.68,210.65,3748572.0,210.4098
2025-05-27,213.03,217.045,213.03,216.87,3943412.0,215.946
2025-05-28,217.06,217.12,214.52,214.88,3771176.0,215.82
2025-05-29,217.04,217.17,213.87,214.97,4015816.0,215.3569
2025-05-30,214.14,215.63,212.38,213.8,5116716.0,214.1979
2025-06-02,213.19,214.33,210.56,214.3,4391952.0,212.771
2025-06-03,214.49,217.23,214.44,215.44,3927738.0,215.8051
2025-06-04,215.62,215.74,213.3,214.87,3790559.0,214.9277
2025-06-05,214.32,215.43,207.71,209.45,6049255.0,211.3983
2025-06-06,212.48,213.165,211.44,212.17,4974377.0,212.3328
2025-06-09,211.44,214.27,210.24,213.87,5298192.0,212.8985
2025-06-10,214.18,216.47,213.925,216.43,4297464.0,215.1841
2025-06-11,217.69,217.77,213.92,214.72,3444346.0,215.8019
2025-06-12,213.525,214.87,213.14,213.71,2706952.0,214.0028
2025-06-13,210.98,213.995,210.73,211.74,5146081.0,212.1173
2025-06-16,213.41,214.38,212.79,214.02,2382420.0,213.8958
2025-06-17,212.83,213.35,209.935,210.33,4236596.0,211.387
2025-06-18,210.75,212.69,210.24,210.43,3702867.0,211.3421
2025-06-20,212.27,212.76,209.62,210.68,4852493.0,210.681
2025-06-23,210.66,214.79,209.713,214.4,6278646.0,213.6478
2025-06-24,216.61,216.685,214.93,215.59,4326345.0,215.8572
2025-06-25,216.27,216.32,212.16,213.05,4651011.0,213.2511
2025-06-26,213.24,215.4601,212.78,215.01,3771715.0,214.4421
2025-06-27,216.06,218.61,215.59,218.59,4451040.0,217.3585
2025-06-30,218.52,219.0,216.73,217.33,3501916.0,217.5571
2025-07-01,215.24,219.18,214.72,218.26,6542717.0,218.1651
2025-07-02,219.65,220.475,218.26,220.01,6218261.0,219.6891
2025-07-03,221.0,221.84,220.42,221.21,3452353.0,221.2718
2025-07-07,218.19,219.3,217.02,218.4,5040790.0,218.1824
2025-07-08,218.9,219.31,217.49,217.66,3427499.0,218.3038
2025-07-09,218.63,219.58,217.81,218.95,2432694.0,218.6413
2025-07-10,219.42,221.905,219.19,221.37,3784335.0,221.1146
2025-07-11,220.78,221.9,219.87,221.43,3345436.0,221.066
2025-07-14,221.48,222.315,220.84,222.25,3646138.0,221.6237
